"","GSM3359632","GSM3359633","GSM3359634","GSM3359635","GSM3359636","GSM3359637","GSM3359638","GSM3359639","GSM3359640","GSM3359641","GSM3359642","GSM3359643"
"MORC2",3.75586256673908,4.76466198734355,3.67244117156978,4.26040651074796,4.15605012112615,4.04307169089905,4.11728493682677,4.02126717895586,4.12131902766416,3.82748461426116,3.08015045194772,4.78889838804558
"H2BC15",3.48552367844419,3.04188148269972,3.48267227048764,3.19212989303446,3.22626114020386,3.40756626078127,3.71168415374601,2.82351202205334,4.10488711131816,3.97531991920875,3.83477006206398,3.37855490698885
"GPR32",3.24991430255541,2.95349862336815,3.27043244804007,2.60066809923569,3.02444084242453,3.06853060443313,3.25343902817718,2.80712874980404,3.4834068407687,3.12520396620638,3.16776704399825,2.59976602035643
"PCDHGB5",4.37487901496511,4.31637329220169,4.4080619954026,3.95348780905501,4.58855325489066,4.37690252569944,4.24244913728222,3.9752780504051,4.93373539900964,4.3659729758111,4.53314075064735,4.3725132558587
"ZNF600",6.32390978880799,5.90831996713509,5.86220996604131,6.19108058841023,5.91662413490039,6.12476873833332,5.80236213846973,5.34804042241314,5.69588953410491,5.94989355778043,5.72016152049521,5.81674934076589
"KRTAP6-2",3.63300552051648,3.34452821866894,3.65377954725114,3.16688400915858,3.62735377797785,3.70321495246926,3.11467056752037,3.24150887647447,3.62819357557103,3.62098017456747,3.46786786719219,3.22862174834271
"KRTAP20-1",1.91065266659272,1.57096588238917,1.79345720760406,1.6910834829187,1.96630143180774,1.85614351312613,2.1924270990288,1.68843883266595,1.91961946442964,2.1072148684238,1.69501312097845,1.95645742583094
"H2BC9",3.02636042124318,2.80138626250878,3.11549970061318,3.32288872250027,3.299581879007,3.62707132271563,2.82308413079482,4.64228003043819,2.77900468583729,2.7554395889616,3.35035887979684,4.85119695502934
"SNAPC5",3.64171607307565,3.5955187118388,3.3715699789231,3.592243878632,3.62404137782828,3.58738389140862,3.6506710056035,3.75019325377615,3.61255940519998,3.33835767386565,3.41394964387971,3.80335910113584
"OR8U9",2.29804244988194,1.89230313638722,2.09550183166438,1.90431953134965,2.05036418167176,2.14405123457187,2.2859361662376,2.2036509842768,2.82700189704781,2.90017340287619,2.06792154873691,2.14478229023232
"SSX7",5.65038895887643,5.59972466069247,6.09711750662598,4.72557387902354,5.71245803003705,5.74162992570531,5.29884896114743,5.647955702293,6.06043862163876,5.38751177898186,4.9791271490628,5.28154879908496
"PCDHA13",3.94544132947646,3.5982586225836,4.01465114209125,3.42734899365812,3.74309846129396,3.74578891468067,4.39899942547543,3.3942623233609,4.43772978725126,3.97911597836728,3.75395946940824,3.59840539372874
"PCDHGB3",3.94236537656261,3.53548644385106,3.8928636527622,3.30552855623294,3.8227214922604,3.83333983162098,3.95585244957835,3.73130639712857,4.18799964152204,4.0214034148328,3.74342227254643,3.50742888247404
"GSC2",2.10548849851156,1.46608240954233,2.29408795608265,1.6424540253974,1.81374278757791,1.83613679120985,1.9790698290786,1.68343025751635,1.92569586736812,2.18182964639107,1.82502392336881,1.51170174820914
"OR9Q2",2.21574583225567,1.82659589284204,2.25927887876082,1.82873496438514,2.10226185466211,2.14148420206952,2.183858502059,1.71867155516126,2.14875170219029,2.06869588243146,2.24212383693816,1.67275224516152
"KRTAP19-7",2.3539015651155,2.08069380902321,2.5429052880111,1.89392751366753,2.03646142361527,2.01506887191624,2.9073223269108,2.06783587344266,2.51954770675228,2.95295345321723,2.16056122836504,2.38109886111473
"KRTAP20-2",3.87235333648164,3.34977131762215,3.74954912069701,3.37127016925017,3.66399885107909,3.65009686708266,3.61472299968718,3.31844878479863,3.8646809774143,3.98996920829188,3.7398592734043,3.31449087998999
"CFAP91",1.62439779542056,1.42020634807361,1.27529491133306,1.58325329082693,1.65097714814526,1.28062502430992,1.52701633421563,1.45393294629835,1.59656812971895,1.60716683544097,1.43222525713581,1.69300562153996
